Date,Open,Close,Volume,gap,upDown
2010-11-15,6.044,6.16,13114500,1.91,1
2010-11-16,6.2,5.934,6738000,-4.29,-1
2010-11-17,6.04,5.898,3750000,-2.35,-1
2010-11-18,6.134,5.978,4780500,-2.54,-1
2010-11-19,6.032,6.198,5752500,2.75,1
2010-11-22,6.314,6.68,7648500,5.79,1
2010-11-23,6.658,6.914,7889000,3.84,1
2010-11-24,7.054,7.094,7125000,0.56,0
2010-11-26,7.12,7.064,1753000,-0.78,0
2010-11-29,7.082,6.866,5728000,-3.04,-1
2010-11-30,6.748,7.066,11113000,4.71,1
2010-12-01,7.174,6.87,6496000,-4.23,-1
2010-12-02,6.802,6.47,10035000,-4.88,-1
2010-12-03,6.402,6.298,5800500,-1.62,-1
2010-12-06,6.27,6.062,6372000,-3.31,-1
2010-12-07,6.098,6.312,6556500,3.5,1
2010-12-08,6.496,6.474,3300000,-0.33,0
2010-12-09,6.502,6.41,2030000,-1.41,-1
2010-12-10,6.41,6.304,2147000,-1.65,-1
2010-12-13,6.328,6.11,2052000,-3.44,-1
2010-12-14,6.058,5.706,8828500,-5.81,-1
2010-12-15,5.734,5.92,3714500,3.24,1
2010-12-16,6.0,6.162,3950500,2.69,1
2010-12-17,6.268,6.272,4065000,0.06,0
2010-12-20,6.328,6.34,2617000,0.18,0
2010-12-21,6.36,6.452,3888500,1.44,1
2010-12-22,6.45,6.526,4166500,1.17,1
2010-12-23,6.252,6.018,7763000,-3.74,-1
2010-12-27,5.604,5.11,46509500,-8.81,-1
2010-12-28,5.17,5.282,20281500,2.16,1
2010-12-29,5.406,5.546,16596000,2.58,1
2010-12-30,5.54,5.3,10205500,-4.33,-1
2010-12-31,5.314,5.326,7089500,0.22,0
2011-01-03,5.368,5.324,6415000,-0.81,0
2011-01-04,5.332,5.334,5937000,0.03,0
2011-01-05,5.296,5.366,7233500,1.32,1
2011-01-06,5.366,5.576,10306000,3.91,1
2011-01-07,5.6,5.648,11239500,0.85,0
2011-01-10,5.634,5.69,6713500,0.99,0
2011-01-11,5.718,5.392,8551000,-5.7,-1
2011-01-12,5.402,5.392,4822000,-0.18,0
2011-01-13,5.392,5.244,3618000,-2.74,-1
2011-01-14,5.23,5.15,5960000,-1.52,-1
2011-01-18,5.096,5.128,8108500,0.62,0
2011-01-19,5.054,4.806,11857500,-4.9,-1
2011-01-20,4.806,4.524,11399500,-5.86,-1
2011-01-21,4.624,4.608,6085000,-0.34,0
2011-01-24,4.706,4.898,8225500,4.07,1
2011-01-25,4.93,4.936,6357500,0.12,0
